{'DAT': '52540988', 'x': '-0.1436594278', 'y': '3.3520531654', 'z': '-9.6012382507'}
{'DAT': '52540989', 'x': '-0.1436594278', 'y': '3.3592362404', 'z': '-9.5940551758'}
{'DAT': '52540990', 'x': '-0.1819685996', 'y': '3.3664190769', 'z': '-9.6108150482'}
{'DAT': '52540991', 'x': '-0.1843629181', 'y': '3.3640248775', 'z': '-9.6587018967'}
{'DAT': '52540992', 'x': '-0.1676026583', 'y': '3.3352928162', 'z': '-9.6275758743'}
{'DAT': '52540993', 'x': '-0.2011231929', 'y': '3.3233213425', 'z': '-9.6443357468'}
{'DAT': '52540994', 'x': '-0.2154891342', 'y': '3.3759963512', 'z': '-9.6994056702'}
{'DAT': '52540995', 'x': '-0.1771799475', 'y': '3.3927567005', 'z': '-9.7065887451'}
{'DAT': '52540996', 'x': '-0.1652083397', 'y': '3.3831794262', 'z': '-9.6994056702'}
{'DAT': '52540997', 'x': '-0.1819685996', 'y': '3.3855736256', 'z': '-9.6563072205'}
{'DAT': '52540998', 'x': '-0.2035175115', 'y': '3.3712077141', 'z': '-9.6754617691'}
{'DAT': '52540999', 'x': '-0.1939402223', 'y': '3.3807849884', 'z': '-9.7065887451'}
{'DAT': '52541000', 'x': '-0.1747856289', 'y': '3.3736021519', 'z': '-9.6299695969'}
{'DAT': '52541001', 'x': '-0.1915459037', 'y': '3.3448703289', 'z': '-9.5940551758'}
{'DAT': '52541002', 'x': '-0.1843629181', 'y': '3.3448703289', 'z': '-9.5701122284'}
{'DAT': '52541003', 'x': '-0.1795742810', 'y': '3.3424758911', 'z': '-9.5749006271'}
{'DAT': '52541004', 'x': '-0.1915459037', 'y': '3.3472645283', 'z': '-9.6682786942'}
{'DAT': '52541005', 'x': '-0.1915459037', 'y': '3.3616304398', 'z': '-9.6874332428'}
{'DAT': '52541006', 'x': '-0.2011231929', 'y': '3.3400814533', 'z': '-9.6299695969'}
{'DAT': '52541007', 'x': '-0.2226721048', 'y': '3.3496589661', 'z': '-9.6371526718'}
{'DAT': '52541008', 'x': '-0.2226721048', 'y': '3.3688135147', 'z': '-9.6563072205'}
{'DAT': '52541009', 'x': '-0.1987288743', 'y': '3.3759963512', 'z': '-9.6491241455'}
{'DAT': '52541010', 'x': '-0.1723913103', 'y': '3.3831794262', 'z': '-9.6347589493'}
{'DAT': '52541011', 'x': '-0.1891515702', 'y': '3.4023339748', 'z': '-9.6443357468'}
{'DAT': '52541012', 'x': '-0.2154891342', 'y': '3.4119112492', 'z': '-9.6634902954'}
{'DAT': '52541013', 'x': '-0.2178834528', 'y': '3.3736021519', 'z': '-9.6563072205'}
{'DAT': '52541014', 'x': '-0.2035175115', 'y': '3.3472645283', 'z': '-9.6227865219'}
{'DAT': '52541015', 'x': '-0.1652083397', 'y': '3.3712077141', 'z': '-9.6132097244'}
{'DAT': '52541016', 'x': '-0.1819685996', 'y': '3.3951508999', 'z': '-9.6036319733'}
{'DAT': '52541017', 'x': '-0.2107004821', 'y': '3.3640248775', 'z': '-9.5749006271'}
{'DAT': '52541018', 'x': '-0.1963345408', 'y': '3.3305041790', 'z': '-9.6179981232'}
{'DAT': '52541019', 'x': '-0.1819685996', 'y': '3.3352928162', 'z': '-9.6347589493'}
